shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
B00170013,50.667529,4.560054,50021
B00200039,50.667811,4.594504,140058
B00310030,50.667811,4.594504,90058
B00310032,50.667811,4.594504,80058
B00620017,50.667930,4.278443,230011
B00620018,50.667930,4.278443,160018
B00690039,50.667930,4.278443,40018
B00690039,50.667987,4.278317,40017
B00690039,50.668067,4.278164,40016
B00690039,50.668146,4.278048,40015
B00690039,50.668181,4.277998,40014
B00690039,50.668281,4.277857,40013
B00690039,50.668418,4.277678,40012
B00690039,50.668492,4.277600,40011
B00690039,50.668585,4.277527,40010
B00690039,50.668667,4.277461,40009
B00690039,50.668750,4.277409,40008
B00690039,50.668768,4.277399,40007
B00690039,50.668912,4.277315,40006
B00690039,50.669093,4.277224,40005
B00690039,50.669299,4.277135,40004
B00690039,50.669401,4.277091,40003
B00690039,50.669771,4.276978,40002
B00690039,50.670066,4.276898,30011
B00690039,50.670066,4.276898,40001
B00690039,50.670349,4.276822,30010
B00690039,50.670380,4.276810,30009
B00690039,50.671874,4.276309,30008
B00690039,50.672461,4.276113,30007
B00690039,50.672932,4.275951,30006
B00690039,50.673060,4.275907,30005
B00690039,50.673119,4.275885,30004
B00690039,50.673397,4.275793,30003
B00690039,50.674841,4.275310,30002
B00690039,50.674923,4.275282,20006
B00690039,50.674923,4.275282,30001
B00690039,50.675203,4.275187,20005
B00690039,50.675457,4.275057,20004
B00690039,50.676276,4.274780,20003
B00690039,50.677278,4.274467,20002
B00690039,50.677980,4.274271,10010
B00690039,50.677980,4.274271,20001
B00690039,50.678789,4.274046,10009
B00690039,50.679207,4.273936,10008
B00690039,50.681050,4.273402,10007
B00690039,50.681218,4.273371,10006
B00690039,50.681531,4.273285,10005
B00690039,50.681832,4.273197,10004
B00690039,50.681960,4.273160,10003
B00690039,50.682159,4.273111,10002
B00690039,50.682221,4.273094,10001
B00690041,50.657476,4.305621,10001
B00690041,50.657602,4.305468,10002
B00690041,50.658165,4.304689,10003
B00690041,50.658426,4.304294,10004
B00690041,50.658598,4.304007,10005
B00690041,50.658646,4.303911,10006
B00690041,50.658808,4.303582,10007
B00690041,50.658985,4.303204,10008
B00690041,50.659027,4.303115,10009
B00690041,50.659198,4.302713,10010
B00690041,50.659520,4.301878,10011
B00690041,50.659636,4.301578,10012
B00690041,50.659724,4.301314,10013
B00690041,50.659772,4.301177,10014
B00690041,50.659923,4.300711,10015
B00690041,50.659956,4.300680,10016
B00690041,50.660048,4.300403,10017
B00690041,50.660123,4.300142,10018
B00690041,50.660147,4.300084,10019
B00690041,50.660175,4.300032,10020
B00690041,50.660210,4.299971,10021
B00690041,50.660247,4.299920,10022
B00690041,50.660314,4.299839,10023
B00690041,50.660339,4.299866,10024
B00690041,50.660377,4.299883,10025
B00690041,50.660419,4.299889,10026
B00690041,50.660451,4.299884,10027
B00690041,50.660499,4.299860,10028
B00690041,50.660529,4.299829,10029
B00690041,50.660573,4.299764,10030
B00690041,50.660592,4.299396,10037
B00690041,50.660594,4.299692,10031
B00690041,50.660601,4.299430,10036
B00690041,50.660604,4.299309,10038
B00690041,50.660606,4.299460,10035
B00690041,50.660606,4.299621,10032
B00690041,50.660609,4.299491,10034
B00690041,50.660609,4.299522,10033
B00690041,50.660613,4.299253,10039
B00690041,50.660622,4.299202,10040
B00690041,50.660633,4.299160,10041
B00690041,50.660648,4.299101,10042
B00690041,50.660733,4.298864,10043
B00690041,50.660753,4.298880,10044
B00690041,50.660769,4.298891,10045
B00690041,50.660794,4.298907,10046
B00690041,50.660828,4.298928,10047
B00690041,50.660902,4.298970,10048
B00690041,50.660943,4.298994,10049
B00690041,50.661199,4.299142,10050
B00690041,50.661994,4.299616,10051
B00690041,50.662502,4.299948,10052
B00690041,50.662785,4.300123,10053
B00690041,50.663042,4.300364,10054
B00690041,50.663222,4.300538,10055
B00690041,50.663670,4.300956,10056
B00690041,50.664353,4.301722,10057
B00690041,50.664932,4.302342,10058
B00690041,50.666266,4.303851,10059
