trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
42098471-B_2024-BW_A_P2-Mercredi-26,07:50:00,07:50:00,Bllngr04,42,0,0
42098471-B_2024-BW_A_P2-Sem-N-3-26,06:53:00,06:53:00,N514ane,1,0,0
42098471-B_2024-BW_A_P2-Sem-N-3-26,07:46:00,07:46:00,Bllnrge2,40,0,0
42098471-B_2024-BW_A_P2-Sem-N-3-26,07:49:00,07:49:00,Bllncom1,41,0,0
42098471-B_2024-BW_A_P2-Sem-N-3-26,07:50:00,07:50:00,Bllngr04,42,0,0
42098474-B_2024-BW_A_P2-Mercredi-26,13:30:00,13:30:00,Bllngr04,18,0,0
42098474-B_2024-BW_A_P2-Sem-N-3-26,13:07:00,13:07:00,Bchgqve1,1,0,0
42098474-B_2024-BW_A_P2-Sem-N-3-26,13:29:00,13:29:00,Bllncom1,17,0,0
42098474-B_2024-BW_A_P2-Sem-N-3-26,13:30:00,13:30:00,Bllngr04,18,0,0

42098477-B_2024-BW_A_P2-Mercredi-26,12:27:00,12:27:00,Bllngr04,27,0,0
42098477-B_2024-BW_A_P2-Sem-N-3-26,11:52:00,11:52:00,Bperpla2,1,0,0
42098477-B_2024-BW_A_P2-Sem-N-3-26,12:27:00,12:27:00,Bllngr04,27,0,0
42098482-B_2024-BW_A_P2-Mercredi-26,07:52:00,07:52:00,Bllngr04,18,0,0
42098482-B_2024-BW_A_P2-Sem-N-3-26,07:52:00,07:52:00,Bllngr04,18,0,0
42098482-B_2024-BW_A_P2-Sem-N-3-26,08:00:00,08:00:00,Bottgar1,19,0,0
42098499-B_2024-BW_A_P4-Sem-Vac-15,07:47:00,07:47:00,Bllngr04,42,0,0
42098502-B_2024-BW_A_P4-Sem-Vac-15,12:23:00,12:23:00,Bllnrge2,25,0,0
42098502-B_2024-BW_A_P4-Sem-Vac-15,12:26:00,12:26:00,Bllncom1,26,0,0
42098502-B_2024-BW_A_P4-Sem-Vac-15,12:27:00,12:27:00,Bllngr04,27,0,0
42098503-B_2024-BW_A_EX-Sem-N-3-17,06:53:00,06:53:00,N514ane,1,0,0
42098503-B_2024-BW_A_EX-Sem-N-3-17,06:54:00,06:54:00,N514afa,2,0,0
42098503-B_2024-BW_A_EX-Sem-N-3-17,06:55:00,06:55:00,N514aga,3,0,0
42098503-B_2024-BW_A_EX-Sem-N-3-17,06:59:00,06:59:00,N518acc,4,0,0
42098503-B_2024-BW_A_EX-Sem-N-3-17,07:00:00,07:00:00,N518aaa,5,0,0
42098503-B_2024-BW_A_EX-Sem-N-3-17,07:00:00,07:00:00,N518abb,6,0,0
42098503-B_2024-BW_A_EX-Sem-N-3-17,07:02:00,07:02:00,N519ahb,7,0,0
42098503-B_2024-BW_A_EX-Sem-N-3-17,07:03:00,07:03:00,N519agb,8,0,0
42098503-B_2024-BW_A_EX-Sem-N-3-17,07:49:00,07:49:00,Bllncom1,41,0,0
42098503-B_2024-BW_A_EX-Sem-N-3-17,07:50:00,07:50:00,Bllngr04,42,0,0
42098506-B_2024-BW_A_EX-Sem-N-3-17,13:07:00,13:07:00,Bchgqve1,1,0,0
42098506-B_2024-BW_A_EX-Sem-N-3-17,13:30:00,13:30:00,Bllngr04,18,0,0
42098509-B_2024-BW_A_EX-Sem-N-3-17,12:23:00,12:23:00,Bllnrge2,25,0,0
42098509-B_2024-BW_A_EX-Sem-N-3-17,12:26:00,12:26:00,Bllncom1,26,0,0
42098509-B_2024-BW_A_EX-Sem-N-3-17,12:27:00,12:27:00,Bllngr04,27,0,0
42098514-B_2024-BW_A_EX-Sem-N-3-17,07:52:00,07:52:00,Bllngr04,18,0,0
42101646-B_2024-BW_A_EX-Sem-N-3-17,06:54:00,06:54:00,Bllnmet1,16,0,0
42101646-B_2024-BW_A_EX-Sem-N-3-17,06:57:00,06:57:00,Bllngr04,17,0,0
42101646-B_2024-BW_A_P2-Mercredi-26,06:53:00,06:53:00,Bllncyc1,15,0,0
42101646-B_2024-BW_A_P2-Mercredi-26,06:54:00,06:54:00,Bllnmet1,16,0,0
42101646-B_2024-BW_A_P2-Mercredi-26,06:57:00,06:57:00,Bllngr04,17,0,0
42101646-B_2024-BW_A_P2-Sem-N-3-26,06:54:00,06:54:00,Bllnmet1,16,0,0
42101646-B_2024-BW_A_P2-Sem-N-3-26,06:57:00,06:57:00,Bllngr04,17,0,0
42101646-B_2024-BW_A_P2-Sem-N-3-26,07:05:00,07:05:00,Bottgar8,18,0,0
42101647-B_2024-BW_A_EX-Sem-N-3-17,07:57:00,07:57:00,Bllnmet1,16,0,0
42101647-B_2024-BW_A_EX-Sem-N-3-17,08:01:00,08:01:00,Bllngr04,17,0,0
42101647-B_2024-BW_A_EX-Sem-N-3-17,08:09:00,08:09:00,Bottgar8,18,0,0
42101647-B_2024-BW_A_P2-Mercredi-26,08:01:00,08:01:00,Bllngr04,17,0,0
42101647-B_2024-BW_A_P2-Mercredi-26,08:09:00,08:09:00,Bottgar8,18,0,0
42101647-B_2024-BW_A_P2-Sem-N-3-26,08:01:00,08:01:00,Bllngr04,17,0,0
42101647-B_2024-BW_A_P2-Sem-N-3-26,08:09:00,08:09:00,Bottgar8,18,0,0
42101648-B_2024-BW_A_EX-Sem-N-3-17,08:54:00,08:54:00,Bllnmet1,16,0,0
42101648-B_2024-BW_A_EX-Sem-N-3-17,08:57:00,08:57:00,Bllngr04,17,0,0
42101648-B_2024-BW_A_P2-Mercredi-26,08:52:00,08:52:00,Bllnpsc1,14,0,0
42101648-B_2024-BW_A_P2-Mercredi-26,08:53:00,08:53:00,Bllncyc1,15,0,0
42101648-B_2024-BW_A_P2-Mercredi-26,08:54:00,08:54:00,Bllnmet1,16,0,0
42101648-B_2024-BW_A_P2-Mercredi-26,08:57:00,08:57:00,Bllngr04,17,0,0
42101648-B_2024-BW_A_P2-Mercredi-26,09:05:00,09:05:00,Bottgar8,18,0,0
42101648-B_2024-BW_A_P2-Sem-N-3-26,08:54:00,08:54:00,Bllnmet1,16,0,0
42101648-B_2024-BW_A_P2-Sem-N-3-26,08:57:00,08:57:00,Bllngr04,17,0,0
42101648-B_2024-BW_A_P2-Sem-N-3-26,09:05:00,09:05:00,Bottgar8,18,0,0
42101649-B_2024-BW_A_EX-Sem-N-3-17,11:57:00,11:57:00,Bllngr04,17,0,0
42101649-B_2024-BW_A_EX-Sem-N-3-17,12:05:00,12:05:00,Bottgar8,18,0,0
42101649-B_2024-BW_A_P2-Mercredi-26,11:54:00,11:54:00,Bllnmet1,16,0,0
42101649-B_2024-BW_A_P2-Mercredi-26,11:57:00,11:57:00,Bllngr04,17,0,0
42101649-B_2024-BW_A_P2-Sem-N-3-26,11:54:00,11:54:00,Bllnmet1,16,0,0
42101649-B_2024-BW_A_P2-Sem-N-3-26,11:57:00,11:57:00,Bllngr04,17,0,0
42101649-B_2024-BW_A_P2-Sem-N-3-26,12:05:00,12:05:00,Bottgar8,18,0,0
42101650-B_2024-BW_A_EX-Sem-N-3-17,12:57:00,12:57:00,Bllngr04,17,0,0
42101650-B_2024-BW_A_EX-Sem-N-3-17,13:05:00,13:05:00,Bottgar8,18,0,0
42101650-B_2024-BW_A_P2-Mercredi-26,12:57:00,12:57:00,Bllngr04,17,0,0
42101650-B_2024-BW_A_P2-Mercredi-26,13:05:00,13:05:00,Bottgar8,18,0,0
42101650-B_2024-BW_A_P2-Sem-N-3-26,12:57:00,12:57:00,Bllngr04,17,0,0
42101650-B_2024-BW_A_P2-Sem-N-3-26,13:05:00,13:05:00,Bottgar8,18,0,0
42101651-B_2024-BW_A_EX-Sem-N-3-17,15:54:00,15:54:00,Bllnmet1,16,0,0
42101651-B_2024-BW_A_EX-Sem-N-3-17,15:57:00,15:57:00,Bllngr04,17,0,0
42101651-B_2024-BW_A_P2-Mercredi-26,15:57:00,15:57:00,Bllngr04,17,0,0
42101651-B_2024-BW_A_P2-Mercredi-26,16:05:00,16:05:00,Bottgar8,18,0,0
42101651-B_2024-BW_A_P2-Sem-N-3-26,15:54:00,15:54:00,Bllnmet1,16,0,0
42101651-B_2024-BW_A_P2-Sem-N-3-26,15:57:00,15:57:00,Bllngr04,17,0,0
42101652-B_2024-BW_A_EX-Sem-N-3-17,16:43:00,16:43:00,Bllncyc1,15,0,0
42101652-B_2024-BW_A_EX-Sem-N-3-17,16:44:00,16:44:00,Bllnmet1,16,0,0
42101652-B_2024-BW_A_EX-Sem-N-3-17,16:47:00,16:47:00,Bllngr04,17,0,0
42101652-B_2024-BW_A_EX-Sem-N-3-17,16:55:00,16:55:00,Bottgar8,18,0,0
42101652-B_2024-BW_A_P2-Mercredi-26,16:44:00,16:44:00,Bllnmet1,16,0,0
42101652-B_2024-BW_A_P2-Mercredi-26,16:47:00,16:47:00,Bllngr04,17,0,0
42101652-B_2024-BW_A_P2-Mercredi-26,16:55:00,16:55:00,Bottgar8,18,0,0
42101652-B_2024-BW_A_P2-Sem-N-3-26,16:47:00,16:47:00,Bllngr04,17,0,0
42101653-B_2024-BW_A_EX-Sem-N-3-17,17:54:00,17:54:00,Bllnmet1,16,0,0
42101653-B_2024-BW_A_EX-Sem-N-3-17,17:57:00,17:57:00,Bllngr04,17,0,0
42101653-B_2024-BW_A_P2-Mercredi-26,17:52:00,17:52:00,Bllnpsc1,14,0,0
42101653-B_2024-BW_A_P2-Mercredi-26,17:53:00,17:53:00,Bllncyc1,15,0,0
42101653-B_2024-BW_A_P2-Mercredi-26,17:54:00,17:54:00,Bllnmet1,16,0,0
42101653-B_2024-BW_A_P2-Mercredi-26,17:57:00,17:57:00,Bllngr04,17,0,0
42101653-B_2024-BW_A_P2-Sem-N-3-26,17:54:00,17:54:00,Bllnmet1,16,0,0
42101653-B_2024-BW_A_P2-Sem-N-3-26,17:57:00,17:57:00,Bllngr04,17,0,0
42101653-B_2024-BW_A_P2-Sem-N-3-26,18:05:00,18:05:00,Bottgar8,18,0,0
42101662-B_2024-BW_A_EX-Sem-N-3-17,07:17:00,07:17:00,Bllngr04,17,0,0
42101662-B_2024-BW_A_EX-Sem-N-3-17,07:25:00,07:25:00,Bottgar8,18,0,0
42101662-B_2024-BW_A_P2-Mercredi-26,07:12:00,07:12:00,Bllnpsc1,14,0,0
42101662-B_2024-BW_A_P2-Mercredi-26,07:13:00,07:13:00,Bllncyc1,15,0,0
42101662-B_2024-BW_A_P2-Mercredi-26,07:14:00,07:14:00,Bllnmet1,16,0,0
42101662-B_2024-BW_A_P2-Mercredi-26,07:17:00,07:17:00,Bllngr04,17,0,0
42101662-B_2024-BW_A_P2-Mercredi-26,07:25:00,07:25:00,Bottgar8,18,0,0
42101662-B_2024-BW_A_P2-Sem-N-3-26,07:14:00,07:14:00,Bllnmet1,16,0,0
42101662-B_2024-BW_A_P2-Sem-N-3-26,07:17:00,07:17:00,Bllngr04,17,0,0
