stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
Baegd741,,"GEROMPONT Avenue des Déportés 74",,  50.651957,   4.890238,6427,,0
Baegd742,,"GEROMPONT Avenue des Déportés 74",,  50.651979,   4.890100,6427,,0
Blhutco2,,"LA HULPE Trois Colonnes (Rue des Combattants)",,  50.730626,   4.483428,6244,,0
Blhutco3,,"LA HULPE Trois Colonnes (Ch. de Bruxelles)",,  50.731487,   4.481253,6244,,0
Blhutco4,,"LA HULPE Trois Colonnes (Rue Broodcoorens)",,  50.729989,   4.481983,6244,,0
Blhutma1,,"LA HULPE Trois Maisons",,  50.741984,   4.470349,6244,,0
Blilgar1,,"LILLOIS Gare",,  50.644664,   4.365044,6171,,0
Blilhay1,,"LILLOIS Hayettes",,  50.654529,   4.364473,6171,,0
Blilton1,,"LILLOIS Tonnelier",,  50.648653,   4.366101,6171,,0
Blilwit1,,"LILLOIS Witterzée",,  50.653049,   4.373556,6171,,0
Blimbet1,,"LIMELETTE Buston Etang (Avenue des Sorbiers)",,  50.681333,   4.560564,6140,,0
Blimchâ1,,"LIMELETTE Château",,  50.683897,   4.532735,6241,,0
Blimchâ2,,"LIMELETTE Château",,  50.683033,   4.533027,6241,,0
Blimd672,,"LIMELETTE Avenue Demolder 67",,  50.678767,   4.563023,6140,,0
Blimegl1,,"LIMELETTE Eglise",,  50.680036,   4.573006,6140,,0
Blimegl2,,"LIMELETTE Eglise",,  50.680180,   4.572821,6140,,0
Blimeur1,,"LIMELETTE Europe",,  50.684036,   4.571596,6140,,0
Blimeur2,,"LIMELETTE Europe",,  50.684019,   4.571427,6140,,0
Blimmer2,,"LIMELETTE Avenue des Merisiers",,  50.676039,   4.564793,6140,,0
Blimrof1,,"LIMELETTE Rofessart",,  50.689909,   4.532523,6248,,0
Blimrof2,,"LIMELETTE Rofessart",,  50.689869,   4.532323,6248,,0
Blimsob2,,"LIMELETTE Sorbiers",,  50.677601,   4.562009,6140,,0
Blimvcg2,,"LIMELETTE Vieux Chemin de Genappe",,  50.674118,   4.558795,6140,,0
Blinbru1,,"LINCENT La Bruyère",,  50.712699,   5.040247,5251,,0
Blinbru2,,"LINCENT La Bruyère",,  50.712749,   5.039934,5251,,0
Blincal1,,"LINCENT Calvaire",,  50.714590,   5.020885,5251,,0
Blincal2,,"LINCENT Calvaire",,  50.714517,   5.020969,5251,,0
Blincoo1,,"LINCENT Coopérative",,  50.710975,   5.024039,5251,,0
Blincoo2,,"LINCENT Coopérative",,  50.711057,   5.024168,5251,,0
Blindel1,,"LINCENT Delvaux (Rue de la Bruyère)",,  50.712658,   5.036679,5251,,0
Blindel2,,"LINCENT Delvaux (Rue de la Bruyère)",,  50.712797,   5.036530,5251,,0
Blindel3,,"LINCENT Delvaux (Route de Huy)",,  50.713127,   5.035936,5251,,0
Blindel4,,"LINCENT Delvaux (Route de Huy)",,  50.712952,   5.035877,5251,,0
Blindel5,,"LINCENT Delvaux (Rue de Lussac)",,  50.712728,   5.035126,5251,,0
Blindel6,,"LINCENT Delvaux (Rue de Lussac)",,  50.712830,   5.034963,5251,,0
Blineco1,,"LINCENT Rue des Ecoles",,  50.711538,   5.031131,5251,,0
Blineco2,,"LINCENT Rue des Ecoles",,  50.711654,   5.030484,5251,,0
Blingar1,,"LINCENT Gare (Route de Huy)",,  50.719791,   5.028931,5251,,0
Blingar2,,"LINCENT Gare (Route de Huy)",,  50.719265,   5.029163,5251,,0
Blingar3,,"LINCENT Gare (Rue Warichet)",,  50.718915,   5.027477,5251,,0
Blingar4,,"LINCENT Gare (Rue Warichet)",,  50.719495,   5.028270,5251,,0
Blinhue1,,"LINCENT Route de Huez",,  50.709905,   5.039140,5251,,0
Blinhue2,,"LINCENT Route de Huez",,  50.709430,   5.039378,5251,,0
Blkbavo1,,"LINKEBEEK Avondvrede",,  50.775012,   4.326371,6261,,0
Blkbavo2,,"LINKEBEEK Avondvrede",,  50.774915,   4.326269,6261,,0
Blkbbeu1,,"LINKEBEEK Beukenstraat",,  50.773042,   4.326960,6261,,0
Blkbbeu2,,"LINKEBEEK Beukenstraat",,  50.772540,   4.326989,6261,,0
Blkbbvh1,,"LINKEBEEK Hess de Lilez",,  50.777833,   4.325725,6221,,0
Blkbbvh2,,"LINKEBEEK Hess de Lilez",,  50.777842,   4.325522,6221,,0
